,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
924,1490000.0,120.0,3,4,Dolny,wtórny,kamienica,0,0,gazowe,0,0,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
925,766746.0,37.0,2,1,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2017,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
926,913167.0,53.9,2,p,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2017,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
927,810064.0,48.4,2,1,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2017,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
928,1232074.0,80.2,3,p,Dolny,pierwotny,apartamentowiec,0,0,miejskie,0,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
929,849052.0,46.4,2,3,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2017,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
930,1304224.0,71.9,3,p,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2017,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
931,1000000.0,79.0,3,2,Dolny,wtórny,apartamentowiec,0,0,miejskie,1999,0,0,pełna,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
932,398000.0,36.4,2,p,Dolny,wtórny,blok,0,0,miejskie,1957,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
933,710000.0,45.0,4,2,Centrum,wtórny,kamienica,0,0,miejskie,2000,0,0,pełna,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
934,1290000.0,100.0,6,1,pomorskie,wtórny,kamienica,0,0,0,1886,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
935,1600000.0,180.0,3,p,Centrum,wtórny,kamienica,0,0,gazowe,0,0,0,pełna,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
936,899000.0,87.4,3,2,Dolny,wtórny,kamienica,0,0,gazowe,0,0,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
937,550000.0,60.75,3,p,Centrum,pierwotny,apartamentowiec,0,0,miejskie,2010,0,0,pełna,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,495000.0,30.0,2,p,Centrum,wtórny,kamienica,0,0,miejskie,1912,0,0,pełna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,1749000.0,109.0,4,p,Wyścigi,wtórny,apartamentowiec,0,0,miejskie,2006,0,0,pełna,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
